-20.843601293550122	-34.131427077733235
-24.078091318449253	-34.08143388855386
-26.005262646152715	-35.366216461179235
-28.146564121378788	-36.65099903380461
-29.85960530155964	-38.36404246397178
-30.930256039172676	-39.862955465368046
-30.930256039172676	-41.79012932430611
-29.85960530155964	-43.07491189693148
-27.50417367881097	-43.93143361201506
-24.078091318449253	-43.93143361201506
-19.581358220474513	-44.35969446955686
-16.155275860112795	-44.14556404078596
-11.016152319570224	-43.28904232570238
-6.091158926550264	-39.43469460782626
