-23.24268774342532	-6.422432020055439
-25.9093553055027	-11.16327632053222
-25.9093553055027	-12.348487395651418
-24.724169722357203	-15.607817852229218
-23.83528053499808	-17.38563446490801
-22.353798556066195	-18.867148308807003
-18.50194541084332	-24.20059814684339
-14.946388661406814	-27.16362583464138
-12.57601749511582	-30.42295629121918
-9.909349933038442	-35.46010336047576
-7.242682370961063	-36.34901166681516
-4.279718413097314	-39.31203935461315
-1.31675445523355	-41.089855967291946
0.4610239194847025	-42.275067042411145
14.090658125657969	-45.08994334581924
